client_id:0, client_request_id:0, request_info:apple
client_id:1, client_request_id:1, request_info:orange
client_id:2, client_request_id:2, request_info:banana
client_id:3, client_request_id:3, request_info:pear
client_id:4, client_request_id:4, request_info:lemon
client_id:1, client_request_id:1, request_info:orange
client_id:4, client_request_id:4, request_info:lemon
client_id:0, client_request_id:0, request_info:apple
client_id:2, client_request_id:2, request_info:banana
client_id:3, client_request_id:3, request_info:pear
client_id:0, client_request_id:0, request_info:apple
client_id:4, client_request_id:0, request_info:apple
client_id:2, client_request_id:0, request_info:apple
client_id:3, client_request_id:0, request_info:apple
client_id:1, client_request_id:0, request_info:apple
client_id:0, client_request_id:1, request_info:orange
client_id:0, client_request_id:0, request_info:apple
client_id:1, client_request_id:0, request_info:apple
client_id:2, client_request_id:0, request_info:apple
client_id:4, client_request_id:0, request_info:apple
client_id:3, client_request_id:0, request_info:apple
client_id:0, client_request_id:1, request_info:orange
client_id:1, client_request_id:1, request_info:orange
client_id:2, client_request_id:1, request_info:orange
client_id:1, client_request_id:2, request_info:banana
client_id:4, client_request_id:1, request_info:orange
client_id:3, client_request_id:1, request_info:orange
client_id:0, client_request_id:2, request_info:banana
client_id:2, client_request_id:2, request_info:banana
client_id:1, client_request_id:3, request_info:pear
client_id:2, client_request_id:3, request_info:pear
client_id:4, client_request_id:2, request_info:banana
client_id:3, client_request_id:2, request_info:banana
client_id:0, client_request_id:3, request_info:pear
client_id:1, client_request_id:4, request_info:lemon
client_id:2, client_request_id:4, request_info:lemon
client_id:4, client_request_id:3, request_info:pear
client_id:3, client_request_id:3, request_info:pear
client_id:0, client_request_id:4, request_info:lemon
client_id:3, client_request_id:4, request_info:lemon
client_id:4, client_request_id:4, request_info:lemon
client_id:0, client_request_id:0, request_info:apple
client_id:1, client_request_id:0, request_info:apple
client_id:3, client_request_id:0, request_info:apple
client_id:2, client_request_id:0, request_info:apple
client_id:4, client_request_id:0, request_info:apple
client_id:0, client_request_id:1, request_info:orange
client_id:3, client_request_id:1, request_info:orange
client_id:2, client_request_id:1, request_info:orange
client_id:4, client_request_id:1, request_info:orange
client_id:1, client_request_id:1, request_info:orange
client_id:0, client_request_id:2, request_info:banana
client_id:1, client_request_id:2, request_info:banana
client_id:4, client_request_id:2, request_info:banana
client_id:3, client_request_id:2, request_info:banana
client_id:0, client_request_id:3, request_info:pear
client_id:2, client_request_id:2, request_info:banana
client_id:2, client_request_id:3, request_info:pear
client_id:1, client_request_id:0, request_info:apple
